time,open,high,low,close,tick_volume,spread,real_volume
2025-03-11 23:30:00,2916.63,2917.56,2914.49,2915.51,343,32,0
2025-03-11 23:45:00,2915.54,2918.15,2915.05,2917.68,501,21,0
2025-03-12 00:00:00,2918.44,2919.7,2917.43,2917.55,327,26,0
2025-03-12 00:15:00,2917.52,2917.74,2916.21,2917.41,234,14,0
2025-03-12 00:30:00,2917.42,2918.03,2916.52,2916.77,273,17,0
2025-03-12 00:45:00,2916.79,2916.81,2915.42,2915.5,283,20,0
2025-03-12 01:00:00,2915.54,2915.54,2913.54,2913.75,697,15,0
2025-03-12 01:15:00,2913.76,2914.68,2913.46,2914.2,395,24,0
2025-03-12 01:30:00,2914.14,2914.55,2912.28,2913.58,463,19,0
2025-03-12 01:45:00,2913.58,2914.49,2912.67,2914.29,780,4,0
2025-03-12 02:00:00,2914.26,2914.26,2910.91,2911.56,1096,5,0
2025-03-12 02:15:00,2911.63,2915.34,2911.54,2914.76,1252,19,0
2025-03-12 02:30:00,2914.76,2917.47,2914.64,2915.92,1336,13,0
2025-03-12 02:45:00,2915.87,2916.86,2914.44,2915.0,833,12,0
2025-03-12 03:00:00,2914.77,2915.9,2914.06,2915.36,1027,9,0
2025-03-12 03:15:00,2915.36,2916.47,2914.94,2916.03,805,21,0
2025-03-12 03:30:00,2916.21,2918.49,2915.54,2916.66,1017,10,0
2025-03-12 03:45:00,2916.67,2917.67,2915.38,2916.22,881,6,0
2025-03-12 04:00:00,2916.37,2919.66,2916.36,2918.56,724,15,0
2025-03-12 04:15:00,2918.51,2920.05,2917.4,2919.22,902,14,0
2025-03-12 04:30:00,2919.19,2919.64,2917.76,2917.91,607,15,0
2025-03-12 04:45:00,2917.91,2918.36,2914.89,2914.92,675,22,0
2025-03-12 05:00:00,2914.92,2915.21,2914.02,2914.02,475,15,0
2025-03-12 05:15:00,2914.02,2915.62,2912.6,2915.49,662,8,0
2025-03-12 05:30:00,2915.51,2915.78,2914.3,2915.25,495,14,0
2025-03-12 05:45:00,2915.25,2916.14,2914.85,2914.92,415,33,0
2025-03-12 06:00:00,2914.97,2915.21,2913.23,2914.15,802,25,0
2025-03-12 06:15:00,2914.17,2914.26,2912.17,2913.18,786,13,0
2025-03-12 06:30:00,2913.31,2915.04,2912.22,2915.01,955,10,0
2025-03-12 06:45:00,2915.01,2916.54,2914.72,2916.03,990,6,0
2025-03-12 07:00:00,2916.1,2921.18,2915.84,2920.21,1157,1,0
2025-03-12 07:15:00,2920.21,2920.85,2915.97,2916.02,1131,4,0
2025-03-12 07:30:00,2916.03,2917.2,2912.62,2913.08,1279,8,0
2025-03-12 07:45:00,2912.98,2915.32,2911.45,2911.95,1484,1,0
2025-03-12 08:00:00,2911.94,2912.65,2910.58,2911.51,1179,1,0
2025-03-12 08:15:00,2911.49,2912.51,2909.17,2911.23,1172,4,0
2025-03-12 08:30:00,2911.12,2914.6,2911.12,2912.82,1289,7,0
2025-03-12 08:45:00,2912.75,2915.79,2912.6,2914.66,1276,1,0
2025-03-12 09:00:00,2914.6,2917.08,2914.25,2916.24,1597,3,0
2025-03-12 09:15:00,2916.24,2918.8,2916.2,2917.46,1147,1,0
2025-03-12 09:30:00,2917.46,2920.08,2916.82,2919.28,1402,1,0
2025-03-12 09:45:00,2919.28,2922.28,2918.13,2922.27,1509,7,0
2025-03-12 10:00:00,2922.28,2925.37,2918.34,2919.68,1642,7,0
2025-03-12 10:15:00,2919.67,2921.01,2918.72,2920.05,930,3,0
