time,open,high,low,close,tick_volume,spread,real_volume
2025-03-11 23:15:00,32.991,32.991,32.957,32.962,150,5,0
2025-03-11 23:30:00,32.962,32.986,32.925,32.929,201,7,0
2025-03-11 23:45:00,32.93,32.949,32.927,32.94,231,16,0
2025-03-12 00:00:00,32.929,32.934,32.914,32.916,177,18,0
2025-03-12 00:15:00,32.916,32.916,32.85,32.863,206,6,0
2025-03-12 00:30:00,32.863,32.867,32.843,32.858,184,11,0
2025-03-12 00:45:00,32.858,32.868,32.847,32.857,159,3,0
2025-03-12 01:00:00,32.857,32.857,32.791,32.811,364,8,0
2025-03-12 01:15:00,32.812,32.835,32.801,32.817,185,2,0
2025-03-12 01:30:00,32.82,32.823,32.777,32.797,371,7,0
2025-03-12 01:45:00,32.793,32.798,32.774,32.786,296,4,0
2025-03-12 02:00:00,32.784,32.784,32.737,32.746,471,1,0
2025-03-12 02:15:00,32.746,32.822,32.745,32.801,447,1,0
2025-03-12 02:30:00,32.801,32.829,32.776,32.793,580,1,0
2025-03-12 02:45:00,32.793,32.833,32.79,32.797,490,1,0
2025-03-12 03:00:00,32.795,32.825,32.767,32.816,468,1,0
2025-03-12 03:15:00,32.813,32.821,32.778,32.795,248,3,0
2025-03-12 03:30:00,32.797,32.826,32.746,32.763,448,1,0
2025-03-12 03:45:00,32.764,32.776,32.737,32.76,408,1,0
2025-03-12 04:00:00,32.764,32.814,32.764,32.782,346,7,0
2025-03-12 04:15:00,32.782,32.859,32.766,32.84,383,6,0
2025-03-12 04:30:00,32.84,32.84,32.787,32.791,240,9,0
2025-03-12 04:45:00,32.791,32.81,32.749,32.76,290,1,0
2025-03-12 05:00:00,32.757,32.767,32.745,32.754,87,1,0
2025-03-12 05:15:00,32.754,32.791,32.74,32.783,159,1,0
2025-03-12 05:30:00,32.781,32.781,32.747,32.751,179,1,0
2025-03-12 05:45:00,32.751,32.765,32.744,32.752,216,1,0
2025-03-12 06:00:00,32.752,32.757,32.733,32.749,261,1,0
2025-03-12 06:15:00,32.746,32.769,32.733,32.756,391,5,0
2025-03-12 06:30:00,32.759,32.808,32.746,32.798,552,1,0
2025-03-12 06:45:00,32.798,32.831,32.788,32.792,506,1,0
2025-03-12 07:00:00,32.792,32.879,32.784,32.847,608,1,0
2025-03-12 07:15:00,32.847,32.855,32.768,32.781,533,1,0
2025-03-12 07:30:00,32.778,32.779,32.729,32.745,457,2,0
2025-03-12 07:45:00,32.749,32.759,32.703,32.723,457,4,0
2025-03-12 08:00:00,32.723,32.769,32.712,32.753,480,2,0
2025-03-12 08:15:00,32.756,32.776,32.718,32.76,484,1,0
2025-03-12 08:30:00,32.758,32.898,32.757,32.891,457,1,0
2025-03-12 08:45:00,32.886,32.961,32.866,32.935,566,4,0
2025-03-12 09:00:00,32.934,32.975,32.908,32.924,604,11,0
2025-03-12 09:15:00,32.924,32.942,32.91,32.912,429,7,0
2025-03-12 09:30:00,32.91,32.991,32.896,32.975,419,1,0
2025-03-12 09:45:00,32.974,33.045,32.955,33.044,556,1,0
2025-03-12 10:00:00,33.053,33.076,32.989,33.004,708,7,0
2025-03-12 10:15:00,33.004,33.04,32.996,33.037,377,14,0
2025-03-12 10:30:00,33.037,33.07,33.005,33.007,476,4,0
2025-03-12 10:45:00,33.007,33.044,33.005,33.011,383,1,0
2025-03-12 11:00:00,33.004,33.051,33.004,33.023,325,10,0
2025-03-12 11:15:00,33.02,33.039,32.997,33.024,380,9,0
2025-03-12 11:30:00,33.026,33.05,32.999,33.018,338,1,0
2025-03-12 11:45:00,33.02,33.057,33.016,33.02,379,1,0
2025-03-12 12:00:00,33.019,33.067,33.017,33.06,386,1,0
2025-03-12 12:15:00,33.059,33.072,33.048,33.059,383,1,0
2025-03-12 12:30:00,33.057,33.088,33.024,33.024,475,7,0
2025-03-12 12:45:00,33.021,33.053,33.006,33.047,395,5,0
2025-03-12 13:00:00,33.049,33.051,33.003,33.051,500,1,0
2025-03-12 13:15:00,33.051,33.075,33.008,33.013,544,2,0
2025-03-12 13:30:00,33.024,33.213,33.023,33.188,1834,1,0
2025-03-12 13:45:00,33.189,33.208,33.102,33.141,1058,4,0
2025-03-12 14:00:00,33.135,33.135,33.005,33.059,1436,4,0
2025-03-12 14:15:00,33.058,33.066,32.888,32.99,1304,1,0
2025-03-12 14:30:00,32.992,33.088,32.984,32.994,1415,1,0
2025-03-12 14:45:00,32.994,33.082,32.954,33.039,1777,7,0
2025-03-12 15:00:00,33.034,33.131,32.991,33.099,1528,5,0
2025-03-12 15:15:00,33.107,33.113,33.013,33.02,1281,1,0
2025-03-12 15:30:00,33.026,33.038,32.902,33.013,1356,9,0
2025-03-12 15:45:00,33.011,33.131,32.966,33.115,1071,9,0
2025-03-12 16:00:00,33.114,33.118,33.025,33.109,1087,1,0
2025-03-12 16:15:00,33.107,33.12,33.045,33.061,957,1,0
2025-03-12 16:30:00,33.062,33.157,33.029,33.148,824,1,0
2025-03-12 16:45:00,33.147,33.166,33.112,33.165,768,1,0
2025-03-12 17:00:00,33.169,33.245,33.13,33.222,955,1,0
2025-03-12 17:15:00,33.226,33.24,33.186,33.226,969,2,0
2025-03-12 17:30:00,33.228,33.24,33.163,33.173,831,3,0
2025-03-12 17:45:00,33.175,33.224,33.171,33.207,751,5,0
2025-03-12 18:00:00,33.205,33.245,33.194,33.239,675,1,0
2025-03-12 18:15:00,33.238,33.28,33.222,33.27,635,1,0
2025-03-12 18:30:00,33.262,33.325,33.261,33.288,507,1,0
2025-03-12 18:45:00,33.288,33.312,33.23,33.23,612,1,0
2025-03-12 19:00:00,33.229,33.293,33.224,33.287,615,1,0
2025-03-12 19:15:00,33.285,33.308,33.272,33.306,455,1,0
2025-03-12 19:30:00,33.307,33.324,33.268,33.291,476,1,0
2025-03-12 19:45:00,33.289,33.299,33.262,33.279,381,9,0
